MeV,MeV / (g/cm2)
0.01,78.604
0.011,82.164
0.012,85.515
0.013,88.6985
0.014,91.7033
0.015,94.5596
0.016,97.2772
0.017,99.856
0.018,102.2759
0.02,106.9388
0.0225,112.0973
0.025,116.6604
0.0275,120.7274
0.03,124.3975
0.0325,127.6705
0.035,130.6458
0.0375,133.3231
0.04,135.7023
0.045,139.7652
0.05,143.0331
0.055,145.8049
0.06,147.98
0.065,149.7579
0.07,151.2379
0.08,153.4035
0.09,154.6748
0.1,155.2505
0.11,155.4295
0.12,155.2111
0.13,154.595
0.14,153.7807
0.15,152.8678
0.16,151.6562
0.17,150.3457
0.18,149.0362
0.2,146.0193
0.225,142.1018
0.25,138.0871
0.275,134.1746
0.3,130.2638
0.325,126.5544
0.35,123.0462
0.375,119.7388
0.4,116.5323
0.45,110.721
0.5,105.5117
0.55,100.9038
0.6,96.73709
0.65,93.01124
0.7,89.64613
0.8,83.78756
0.9,78.86068
1,74.635
1.1,71.56024
1.2,68.55618
1.3,65.94267
1.4,63.57961
1.5,61.41691
1.6,59.42451
1.7,57.59237
1.8,55.90043
2,52.84709
2.25,49.57366
2.5,46.76085
2.75,44.3185
3,42.16651
3.25,40.2648
3.5,38.5533
3.75,37.00199
4,35.60083
4.5,33.14886
5,31.06725
5.5,29.27591
6,27.71478
6.5,26.33381
7,25.10296
8,23.01156
9,21.28045
10,19.829541
11,18.598787
12,17.52815
13,16.587604
14,15.757131
15,15.016716
16,14.356349
17,13.756022
18,13.215729
20,12.255226
22.5,11.274714
25,10.454298
27.5,9.755952
30,9.160661
32.5,8.644412
35,8.191196
37.5,7.791007
40,7.43384
45,6.823559
50,6.32133
55,5.899141
60,5.539982
65,5.228845
70,4.958727
80,4.508533
90,4.14838
100,3.855256
110,3.609153
120,3.402066
130,3.223992
140,3.068928
150,2.932873
160,2.813823
170,2.70678
180,2.61174
200,2.447673
225,2.281605
250,2.14755
275,2.036505
300,1.944466
325,1.865434
350,1.798406
375,1.740381
400,1.689359
450,1.604323
500,1.537293
550,1.483269
600,1.438248
650,1.402231
700,1.371216
800,1.322191
900,1.287171
1000,1.260156
